Name,Team,Age,K%,BB%,OPS,GB%,O-Swing%,Swing%,Hard%,playerid,year
Juan Soto,WSN,21,0.143,0.209,1.185,0.516,0.210,0.360,0.421,20123,2020
Freddie Freeman,ATL,30,0.141,0.172,1.102,0.316,0.282,0.482,0.429,5361,2020
Marcell Ozuna,ATL,29,0.225,0.142,1.067,0.367,0.325,0.463,0.462,10324,2020
DJ LeMahieu,NYY,31,0.097,0.083,1.011,0.566,0.289,0.441,0.354,9874,2020
Jose Ramirez,CLE,27,0.169,0.122,0.993,0.301,0.259,0.414,0.333,13510,2020
Ronald Acuna Jr.,ATL,22,0.297,0.188,0.987,0.350,0.235,0.405,0.510,18401,2020
Trea Turner,WSN,27,0.139,0.085,0.982,0.447,0.290,0.469,0.367,16252,2020
Dominic Smith,NYM,25,0.226,0.070,0.993,0.407,0.371,0.519,0.378,15653,2020
Nelson Cruz,MIN,39,0.271,0.117,0.992,0.465,0.338,0.476,0.386,2434,2020
Jose Abreu,CHW,33,0.225,0.069,0.987,0.445,0.364,0.485,0.396,15676,2020
Mike Trout,LAA,28,0.232,0.145,0.993,0.252,0.174,0.367,0.415,10155,2020
Mike Yastrzemski,SFG,29,0.244,0.133,0.968,0.387,0.234,0.389,0.372,14854,2020
Michael Conforto,NYM,27,0.245,0.103,0.927,0.414,0.277,0.442,0.366,16376,2020
Bryce Harper,PHI,27,0.176,0.201,0.962,0.361,0.311,0.457,0.400,11579,2020
Wil Myers,SDP,29,0.257,0.083,0.959,0.383,0.258,0.418,0.479,10047,2020
Anthony Rendon,LAA,30,0.134,0.164,0.915,0.354,0.208,0.405,0.437,12861,2020
Corey Seager,LAD,26,0.159,0.073,0.943,0.384,0.338,0.558,0.520,13624,2020
Luke Voit,NYY,29,0.231,0.073,0.948,0.406,0.333,0.521,0.419,14811,2020
Fernando Tatis Jr.,SDP,21,0.237,0.105,0.937,0.482,0.296,0.467,0.549,19709,2020
Manny Machado,SDP,27,0.146,0.102,0.95,0.372,0.278,0.467,0.387,11493,2020
Mookie Betts,LAD,27,0.154,0.098,0.927,0.324,0.249,0.405,0.445,13611,2020
Paul Goldschmidt,STL,32,0.186,0.160,0.883,0.349,0.253,0.405,0.282,9218,2020
Brandon Nimmo,NYM,27,0.191,0.147,0.888,0.472,0.213,0.412,0.217,12927,2020
Brandon Lowe,TBR,25,0.259,0.112,0.916,0.328,0.268,0.468,0.431,18882,2020
Teoscar Hernandez,TOR,27,0.304,0.068,0.919,0.359,0.343,0.464,0.488,13066,2020
George Springer,HOU,30,0.171,0.108,0.899,0.359,0.275,0.475,0.362,12856,2020
Tim Anderson,CHW,27,0.226,0.045,0.886,0.547,0.436,0.552,0.321,15172,2020
Jeimer Candelario,DET,26,0.238,0.097,0.872,0.400,0.299,0.448,0.360,13621,2020
Eloy Jimenez,CHW,23,0.248,0.053,0.891,0.519,0.411,0.543,0.443,17484,2020
Lourdes Gurriel Jr.,TOR,26,0.214,0.063,0.882,0.407,0.358,0.512,0.302,19238,2020
Trevor Story,COL,27,0.243,0.093,0.874,0.297,0.306,0.458,0.407,12564,2020
Ian Happ,CHC,25,0.273,0.130,0.866,0.452,0.270,0.435,0.360,17919,2020
Xander Bogaerts,BOS,27,0.182,0.093,0.867,0.460,0.278,0.436,0.362,12161,2020
A.J. Pollock,LAD,32,0.214,0.057,0.881,0.399,0.337,0.477,0.418,9256,2020
Chris Taylor,LAD,29,0.257,0.121,0.842,0.457,0.213,0.444,0.366,13757,2020
Kole Calhoun,ARI,32,0.219,0.123,0.864,0.375,0.275,0.468,0.403,11200,2020
Michael Brantley,HOU,33,0.150,0.091,0.84,0.468,0.252,0.398,0.373,4106,2020
Alex Verdugo,BOS,24,0.204,0.077,0.844,0.522,0.290,0.427,0.325,17027,2020
J.T. Realmuto,PHI,29,0.246,0.082,0.84,0.480,0.281,0.453,0.376,11739,2020
Jeff McNeil,NYM,28,0.115,0.096,0.836,0.438,0.385,0.568,0.309,15362,2020
Donovan Solano,SFG,32,0.192,0.049,0.828,0.362,0.387,0.519,0.342,8623,2020
Jake Cronenworth,SDP,26,0.156,0.094,0.831,0.455,0.224,0.398,0.364,18036,2020
Cavan Biggio,TOR,25,0.230,0.155,0.807,0.382,0.163,0.360,0.314,19252,2020
Tommy La Stella,- - -,31,0.053,0.118,0.819,0.398,0.252,0.381,0.294,12371,2020
Jackie Bradley Jr.,BOS,30,0.221,0.106,0.814,0.531,0.273,0.451,0.271,12984,2020
Mark Canha,OAK,31,0.222,0.152,0.795,0.352,0.216,0.380,0.373,11445,2020
Aaron Hicks,NYY,30,0.180,0.194,0.793,0.454,0.199,0.394,0.305,5297,2020
Robbie Grossman,OAK,30,0.198,0.109,0.826,0.391,0.259,0.434,0.273,5254,2020
David Fletcher,LAA,26,0.109,0.087,0.801,0.543,0.270,0.371,0.227,17992,2020
Trent Grisham,SDP,23,0.254,0.123,0.808,0.407,0.204,0.379,0.327,18564,2020
Kyle Lewis,SEA,24,0.293,0.140,0.801,0.431,0.265,0.432,0.328,19508,2020
Kyle Tucker,HOU,23,0.202,0.079,0.837,0.380,0.313,0.505,0.378,18345,2020
Dansby Swanson,ATL,26,0.269,0.083,0.809,0.373,0.285,0.472,0.389,18314,2020
Adam Duvall,ATL,31,0.258,0.072,0.833,0.292,0.351,0.490,0.307,10950,2020
Brian Anderson,MIA,27,0.288,0.096,0.81,0.489,0.325,0.491,0.356,18289,2020
Didi Gregorius,PHI,30,0.118,0.063,0.827,0.362,0.371,0.530,0.289,6012,2020
Joey Votto,CIN,36,0.193,0.166,0.8,0.385,0.195,0.362,0.364,4314,2020
Wilmer Flores,SFG,28,0.169,0.061,0.83,0.331,0.330,0.480,0.344,5827,2020
Jesus Aguilar,MIA,30,0.185,0.106,0.809,0.362,0.360,0.474,0.355,11342,2020
Willy Adames,TBR,24,0.361,0.098,0.813,0.432,0.292,0.462,0.369,15986,2020
Renato Nunez,BAL,26,0.296,0.079,0.816,0.318,0.424,0.521,0.258,14503,2020
Christian Vazquez,BOS,29,0.228,0.085,0.801,0.415,0.338,0.478,0.308,9774,2020
Christian Yelich,MIL,28,0.308,0.186,0.786,0.508,0.203,0.346,0.411,11477,2020
Pete Alonso,NYM,25,0.255,0.100,0.817,0.392,0.334,0.461,0.318,19251,2020
Kevin Pillar,- - -,31,0.184,0.058,0.798,0.410,0.411,0.519,0.365,12434,2020
Franmil Reyes,CLE,24,0.286,0.100,0.795,0.503,0.311,0.460,0.367,14566,2020
Colin Moran,PIT,27,0.260,0.095,0.797,0.563,0.387,0.497,0.402,16909,2020
Charlie Blackmon,COL,33,0.178,0.077,0.804,0.363,0.337,0.499,0.308,7859,2020
J.D. Davis,NYM,27,0.245,0.135,0.761,0.563,0.263,0.449,0.348,16219,2020
Christian Walker,ARI,29,0.206,0.078,0.792,0.427,0.355,0.518,0.444,13419,2020
Yasmani Grandal,CHW,31,0.299,0.155,0.773,0.362,0.232,0.338,0.419,11368,2020
Raimel Tapia,COL,26,0.184,0.068,0.772,0.557,0.323,0.502,0.313,14350,2020
Vladimir Guerrero Jr.,TOR,21,0.156,0.082,0.791,0.546,0.274,0.479,0.388,19611,2020
Kyle Seager,SEA,32,0.133,0.129,0.788,0.352,0.239,0.403,0.392,9785,2020
Cody Bellinger,LAD,24,0.173,0.123,0.789,0.376,0.299,0.476,0.380,15998,2020
Rafael Devers,BOS,23,0.270,0.052,0.793,0.455,0.423,0.546,0.412,17350,2020
Willson Contreras,CHC,28,0.253,0.089,0.763,0.474,0.344,0.476,0.358,11609,2020
Cesar Hernandez,CLE,30,0.218,0.092,0.763,0.491,0.257,0.424,0.311,10556,2020
Jurickson Profar,SDP,27,0.139,0.074,0.771,0.442,0.315,0.468,0.290,10815,2020
Brandon Crawford,SFG,33,0.244,0.078,0.792,0.417,0.356,0.545,0.346,5343,2020
Randal Grichuk,TOR,28,0.212,0.056,0.793,0.414,0.373,0.518,0.349,10243,2020
David Peralta,ARI,32,0.206,0.060,0.773,0.494,0.306,0.466,0.338,2136,2020
Starling Marte,- - -,31,0.164,0.048,0.77,0.530,0.380,0.519,0.298,9241,2020
Eddie Rosario,MIN,28,0.147,0.082,0.792,0.352,0.426,0.517,0.303,12155,2020
Jean Segura,PHI,30,0.207,0.106,0.769,0.479,0.341,0.462,0.318,5933,2020
Eugenio Suarez,CIN,28,0.290,0.130,0.781,0.348,0.269,0.416,0.341,12552,2020
Nick Castellanos,CIN,28,0.285,0.079,0.784,0.347,0.382,0.518,0.367,11737,2020
