Name,Team,Age,K%,BB%,OPS,GB%,O-Swing%,Swing%,Hard%,playerid,year
Justin Morneau,- - -,32,0.173,0.079,0.734,0.408,0.362,0.514,0.288,1737,2013
Adam LaRoche,WSN,33,0.222,0.122,0.735,0.368,0.256,0.418,0.344,1904,2013
Alejandro De Aza,CHW,29,0.218,0.074,0.728,0.407,0.264,0.431,0.233,3371,2013
Michael Young,- - -,36,0.147,0.076,0.73,0.534,0.263,0.450,0.311,1286,2013
Michael Brantley,CLE,26,0.110,0.065,0.728,0.470,0.240,0.417,0.242,4106,2013
Daniel Murphy,NYM,28,0.136,0.046,0.733,0.424,0.318,0.467,0.313,4316,2013
Mitch Moreland,TEX,27,0.226,0.087,0.736,0.432,0.297,0.439,0.368,3086,2013
Jon Jay,STL,28,0.164,0.083,0.721,0.505,0.288,0.446,0.255,5227,2013
Brian Dozier,MIN,26,0.193,0.082,0.726,0.379,0.283,0.395,0.270,9810,2013
Josh Hamilton,LAA,32,0.248,0.074,0.739,0.389,0.404,0.553,0.326,1875,2013
Todd Frazier,CIN,27,0.208,0.083,0.721,0.422,0.332,0.491,0.321,785,2013
Gerardo Parra,ARI,26,0.151,0.072,0.726,0.553,0.374,0.488,0.320,8553,2013
Yoenis Cespedes,OAK,27,0.239,0.064,0.737,0.377,0.359,0.511,0.316,13110,2013
Russell Martin,PIT,30,0.213,0.115,0.703,0.508,0.224,0.391,0.325,4616,2013
Denard Span,WSN,29,0.116,0.063,0.707,0.542,0.270,0.432,0.187,8347,2013
A.J. Pierzynski,TEX,36,0.144,0.021,0.722,0.425,0.490,0.602,0.296,746,2013
Alberto Callaspo,- - -,30,0.091,0.103,0.702,0.399,0.250,0.406,0.248,3336,2013
Yunel Escobar,TBR,30,0.126,0.099,0.698,0.534,0.249,0.442,0.326,4191,2013
Ryan Doumit,MIN,32,0.184,0.089,0.71,0.474,0.309,0.455,0.331,2113,2013
Mark Reynolds,- - -,29,0.306,0.101,0.699,0.394,0.290,0.473,0.344,7619,2013
Trevor Plouffe,MIN,27,0.215,0.065,0.701,0.386,0.286,0.431,0.327,7462,2013
Leonys Martin,TEX,25,0.205,0.055,0.698,0.509,0.358,0.476,0.245,11846,2013
Nolan Arenado,COL,22,0.140,0.045,0.706,0.425,0.415,0.555,0.287,9777,2013
Gregor Blanco,SFG,29,0.186,0.102,0.69,0.443,0.262,0.439,0.262,3123,2013
Brandon Phillips,CIN,32,0.147,0.059,0.706,0.463,0.378,0.534,0.282,791,2013
Asdrubal Cabrera,CLE,27,0.203,0.062,0.7,0.364,0.338,0.482,0.331,4962,2013
Nick Markakis,BAL,29,0.109,0.079,0.685,0.466,0.282,0.429,0.283,5930,2013
Alexei Ramirez,CHW,31,0.101,0.039,0.693,0.487,0.408,0.545,0.231,5133,2013
Andrelton Simmons,ATL,23,0.084,0.061,0.692,0.424,0.285,0.457,0.268,10847,2013
Dan Uggla,ATL,33,0.318,0.143,0.671,0.396,0.227,0.421,0.314,3442,2013
Matt Wieters,BAL,27,0.180,0.074,0.704,0.385,0.328,0.487,0.313,4298,2013
Matt Dominguez,HOU,23,0.163,0.051,0.69,0.421,0.316,0.462,0.276,4903,2013
Michael Bourn,CLE,30,0.230,0.070,0.676,0.565,0.277,0.426,0.217,6387,2013
Erick Aybar,LAA,29,0.100,0.039,0.683,0.497,0.381,0.481,0.242,4082,2013
Paul Konerko,CHW,37,0.142,0.087,0.669,0.363,0.279,0.444,0.272,242,2013
